id,time,user_id,username,name,place,tweet,label
"""1190403946797576192""",23:03:12,"""3365929053""",PBWF2013,ryl5858,PA,"RT @AlleghenyGreens: There are concerning carcinogens in Western Pennsylvania's water -- most of which are connected to fossil fuel extraction. We need a #GreenNewDeal, not more #fracking and #pipelines, @GovernorTomWolf. #NoPetroPA https://t.co/7bPXwNHNVV",0
"""1190401463564017671""",22:53:20,"""1062623885147877377""",Pittsburgh Injury Lawyers,pittinjurylaw,"Pittsburgh, PA","Legislators pitch a bill to rescue Pennsylvania's nuclear plants

Pennsylvania&amp;rsquo;s nuclear plants struggle to compete against natural gas plants taking advantage of fuel flowing from Marcellus Shale wells.

https://t.co/BokSwIdDt5 https://t.co/aRrtECENsZ",1
"""1190394495252226049""",22:25:38,"""394788738""",Helen Gerhardt,Helen_Gerhardt,Pittsburgh,"RT @IlhanMN: This is the result of putting profits over our planet.

Our environment and Indigenous communities are suffering at the hands of this administrationโs corporate greed. All destructive oil pipelines must be shut down. The fate of our planet depends on it. https://t.co/x9J5kkcrHC",0
"""1190390224515424257""",22:08:40,"""31946907""",Doug Gehrlein,Dan_Kenergy,"Erie, PA","RT @IlhanMN: This is the result of putting profits over our planet.

Our environment and Indigenous communities are suffering at the hands of this administrationโs corporate greed. All destructive oil pipelines must be shut down. The fate of our planet depends on it. https://t.co/x9J5kkcrHC",0
"""1190389521902395392""",22:05:53,"""3173316394""",Bradley Foster,Brad_E_Foster,"Pittsburgh, PA",A perspective on why the prompt month NYMEX #natgas futures contract rose today | Natural Gas Prices Settle Higher on Forecasts for Cold U.S. Temps in Mid-November https://t.co/ZEQ6UVcaNW via @Barchart,1
"""1190388568272887809""",22:02:05,"""1053325021807030272""",NewEnergyNowPA,NewEnergyNowPA,"Pennsylvania, USA",Clean energy is going to outcompete the operating costs of existing gas generators by the early 2030s. https://t.co/oE15Mzp6TO https://t.co/Gr4OYwB6AJ,0
"""1190387717185499136""",21:58:42,"""241673111""",Trent Jones,trent_jones_,Pale Blue Dot,"RT @Jeremy_Nolais: Encana is leaving
Cuts to police
Cuts to nursing 
War with public-sector workers 
Even cuts to support for foster children
This has been @jkenney โs week. So much for jobs, economy, pipelines #ableg",0
"""1190385223315415040""",21:48:48,"""22103608""",Rob Boulware,rboulware,pittsburgh pa,"The last 12 hours: remove ice from truck; ignore weather; do rig tour; get home. Check, check,  check, check. #LifeInPR #shale #natgas https://t.co/7Anz0ucC8G",0
"""1190383363296841730""",21:41:24,"""46764631""",Joe Sestak,JoeSestak,Pennsylvania,"This is one reason why I oppose the Keystone XL and Dakota Access pipelines. Keystone 1 just became operational in 2011, and already it is bursting leaks and spilling hundreds of thousands of gallons into wetland areas. https://t.co/PXXNFUqbUx",1
"""1190382688139694081""",21:38:43,"""17761648""",mwrab,mwrab,"Pennsylvania, USA","RT @vegix: How many times were the people of North Dakota assured that this pipeline would be safe? ๐

How many times did protesters aptly cite numerous pipelines around the country that have had massive spills? ๐ค

https://t.co/l2w8JGuoFU

#BeTheChange4USA #BeTheChange4Earth",1
"""1190378778679230469""",21:23:11,"""822921124459716611""",Christopher Denman (he/him) #EqualityAct ๐ณ๏ธโ๐,CZDenman,"Philadelphia, PA","RT @IlhanMN: This is the result of putting profits over our planet.

Our environment and Indigenous communities are suffering at the hands of this administrationโs corporate greed. All destructive oil pipelines must be shut down. The fate of our planet depends on it. https://t.co/x9J5kkcrHC",1
"""1190378492594196480""",21:22:03,"""812286116573433856""",Alison,endlessmtnmom,"Pennsylvania, USA",@realDonaldTrump Canโt blame him for leaving.  I feel for the people outside of the city who have to put up with the liberal bs.  Rural areas in PA are booming with the natural gas industry.  NY could be too if they got rid of their liberal govt.  Oh Well - enjoy sunny Florida Mr President!,1
"""1190378078276669440""",21:20:24,"""1369212150""",Alan Hale III,AHaleIII,Pittsburgh,"@AzureDevOps Is Azure DevOps Artifacts planning on getting Docker image feeds? Or is that not planned because @Azure Container Registry already exists? https://t.co/cSnUoTq3c4

Would be easier for me as an Azure Pipelines user to only need to know about Azure Artifacts.",0
"""1190377411130646530""",21:17:45,"""56839488""",Don Beck,beck2318,"Lancaster, PA","RT @IlhanMN: This is the result of putting profits over our planet.

Our environment and Indigenous communities are suffering at the hands of this administrationโs corporate greed. All destructive oil pipelines must be shut down. The fate of our planet depends on it. https://t.co/x9J5kkcrHC",1
"""1190371657002737671""",20:54:53,"""155477349""",Jokerโs Truck,Shasta_Otter,"Philadelphia, PA","RT @IlhanMN: This is the result of putting profits over our planet.

Our environment and Indigenous communities are suffering at the hands of this administrationโs corporate greed. All destructive oil pipelines must be shut down. The fate of our planet depends on it. https://t.co/x9J5kkcrHC",1
"""1190370649929330691""",20:50:53,"""53118217""",JT. #SOSAmerica ๐,Volksnurse,Abington PA,"RT @IlhanMN: This is the result of putting profits over our planet.

Our environment and Indigenous communities are suffering at the hands of this administrationโs corporate greed. All destructive oil pipelines must be shut down. The fate of our planet depends on it. https://t.co/x9J5kkcrHC",1
"""1190368192738279424""",20:41:07,"""776018240342556672""",Mairzy,MairzyMurter,"Pennsylvania, USA","RT @awprokop: If there's one thing we know about Donald Trump, it's that he has a deep and longstanding passion for reforming the Ukrainian natural gas industry. Just a personal obsession of his.",0
"""1190364739504918529""",20:27:24,"""1179804947736608773""",Brian Holmes,HolmesElections,"Moosic, PA","@PatriotDiBugno @Redistrict Much of Matt Cartwright's 8th District falls within the Delaware River Basin where there is no natural gas drilling.  

Municipalities and counties do get gas $$ from the state, but as best I can tell Wayne, Pike, Lackawanna, Monroe, Luzerne counties do not have any active wells.",1
"""1190361153618231296""",20:13:09,"""1089577078553542661""",Extinction Rebellion Philadelphia,xrphilly,"Philadelphia, PA","@XRebelDC @BP_plc @exxonmobil @TCEnergy Yet the corp. behind the Keystone XL pipeline, TC Energy - aka TransCanada Corporation til May 2019 - *insisted* on every occasion this pipeline ""wouldn't leak"". What a bunch of despicable lies. Pipelines always leak. First Nations peoples knew this. 383,040 gallons! Wake up!",1
"""1190360873220608000""",20:12:02,"""327285293""",Jeff Brown,JeffBrownFun,"Philadelphia, Pennsylvania, USA","For rail fans, emergency responders, and environmental types, this is a Natural Gas fuel tender for railroad locomotives which is being tested to replaceโฆ https://t.co/8Msc0VS7cp",1
"""1190350831314358272""",19:32:08,"""3066509201""",Kayla Glant,GlantKayla,PA,The year is 2050. All energy comes from renewable sources. Now we use pipelines for Apple cider instead of oil and itโs a happier time.,0
"""1190350308666417152""",19:30:03,"""783689124565901312""",PSU Ag &amp, Shale Law,"State College, PA","#ShaleLaw HotLink: ""Major producers turn away from gas amid oversupply"" - API Smart Brief https://t.co/zZn9gXR97J @SB_Energy @SmartBrief @Reuters #ChesapeakeEnergy #Naturalgas #drilling #energy #gasproduction #shale #shaleoil #preferred #gasprices #gasoutput #market https://t.co/hwELWn04Kb",1
"""1190349965056446465""",19:28:41,"""875771190857609216""",UGI Energy Services,UGIEnergy,"Wyomissing, PA","According to a recent report by @ShaleCresUSA &amp; @OOGEEP, households, businesses, manufacturers and electric power generators have seen $1.1 trillion in energy savings since 2008, due to the significant #natgas production in WV, OH &amp; PA. Read more: https://t.co/0hQX3FLa2F",1
